Dataset(s)	Experiment type	Path	Notes						
YFCC(5M) + RedCaps(5M) + WIT(5M)	Mixture (3)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.0005_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-28-22-54-48		Training					
YFCC(5M) + RedCaps(5M)	Mixture (2)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.0005_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-03-22-04-24-23		Need to run inference					
YFCC (3M) + CC_3M (3M)	Mixture (2)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=4_date=2022-01-03-20-22-38							
YFCC (3M) + CC_12M (3M) + RedCaps (3M)	Mixture (3)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-19-01-46-36			EFML				
YFCC (3M) + CC_12M (3M) + Shutter (3M)	Mixture (3)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-20-09-38-27			clip_train	g3041	8 A40s	>4 days	
YFCC (3M) + CC_12M (3M)	Mixture (2)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-21-19-41-42			clip_eval1	g3065	4 A40s	> 1 day	start training data efficiency models
LAION (3M) + CC_3M (3M)	Mixture (2)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=4_date=2022-01-04-00-37-50			7	g3065	2 A40s	15 hours	
CC_12M (3M) + CC_3M (3M)	Mixture (2)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=4_date=2022-01-04-23-42-33			clip_eval	g3067	2 A40s	> 1 day	
YFCC (5M) + LAION (5M) + CC_12M (5M)	Mixture (3)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-09-21-39-34							
YFCC (5M) + LAION (10M)	Mixture (2)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-17-19-25-51			Sewoong				
YFCC (5M) + LAION (5M) x 2	Mixture (3)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-17-19-21-35			gran	g3001	8 TIs	>4 days	
YFCC (5M) + LAION (5M)	Mixture (2)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-21-23-04-02							
YFCC (5M) + LAION (5M) + Shutterstock (5M)	Mixture (3)				STF				
YFCC (3M) + LAION (3M) + CC_3M (3M) + CC_12M (3M) + RedCaps (3M) + WIT (3M)	Mixture (6)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-03-18-06-30-15	Combine more YFCC+LAION different data availabilities		gran_eval	g3000	5 TIs	23hours	
YFCC (3M) + LAION (3M) + Shutterstock (3M) + CC_12M (3M) + RedCaps (3M) + WIT (3M)	Mixture (6)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-16-20-18-15							
YFCC (5M) + LAION (9.6M)	Mixture (2)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-12-22-14-13							
YFCC (9.6M) + LAION (5M)	Mixture (2)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-13-00-00-57			CSE				
YFCC (2.7M) + LAION (12M)	Mixture (2)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-10-04-55-15			clip_eval2???	g3077	3 A40s	22 hours	
YFCC (12M) + LAION (2.7M)	Mixture (2)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-10-04-55-56							
YFCC (15M) + LAION (15M)	Mixture (2)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-01-08-47-11							
YFCC (7.5M) + LAION (7.5M)	Mixture (2)	/gscratch/sewoong/thaottn/open_clip/open_clip_logs/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2021-11-11-19-00-16							
YFCC (7.5M) + RedCaps (7.5M)	Mixture (2)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-11-02-48-37							
YFCC (3M) + RedCaps (12M)	Mixture (2)	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-01-22-24-41							
									
ImageNet with captions + YFCC	 Mixture	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-01-31-22-07-03							
ImageNet with captions + LAION	Mixture	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-01-02-40-49							
ImageNet with captions	Single source	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-01-30-23-58-03							
									
WIT_1m	Single source	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-01-08-08-31-35		COMPARE WITH WIT(1M) BELOW					
									
YFCC_1m	Data efficiency	/gscratch/sewoong/thaottn/open_clip_logs/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=64_workers=8_date=2021-11-08-03-46-35							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-29-19-14-14							
Seed 2 	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-25-18-34-53							
YFCC_2.7m- lr=5e-4	Hyperparam tuning	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.0005_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-03-23-11-50-02							
YFCC_2.7m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-01-13-08-34-53							
Seed 1		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-29-19-15-14							
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-26-00-55-40							
YFCC_5m	Data efficiency	/gscratch/sewoong/thaottn/open_clips/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-09-21-43-13	new file after accidentally deleting this: lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-31-21-35-14						
Seed 1 		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-24-17-33-48							
Seed 2 		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-25-19-11-26							
YFCC_7.5m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-01-13-20-57-48							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-04-09-43-44							
Seed 2 		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-26-03-25-33							
YFCC_9.6m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=4_date=2022-01-14-21-23-02							
Seed 1 		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-30-03-35-50							
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-27-13-38-01							
YFCC_15m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/open_clip_logs/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2021-11-04-07-51-58							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-28-02-10-50							
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-28-21-40-26							
									
LAION_1m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-05-02-48-12							
Seed 1		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-29-20-20-41							
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-15-20-16-36							
LAION_1m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-01-19-11-08-09							
LAION (2.7M)	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-05-11-18-19							
Seed 1		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-16-09-34-47							
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-18-08-16-05							
LAION_2.7m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-01-14-22-05-59							
LAION (5M)	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-06-00-24-55							
Seed 1		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-16-14-41-10							
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-18-13-09-52							
LAION_5m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-09-21-40-53							
LAION_7.5m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-04-23-59-14							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-06-04-32-09							
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-15-22-50-35							
LAION_7.5m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-01-17-11-46-56							
LAION_9.6m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-06-03-23-36
Seed 1		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-16-22-46-32							
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-18-20-37-02							
LAION_9.6m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-01-20-07-59-21							
LAION_15m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/open_clip_logs/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2021-11-05-00-51-23
Seed 1		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-17-12-16-37							
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-26-17-55-08							
									
CC_3M_2.7m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=64_workers=8_date=2021-11-17-05-46-28							
									
CC_12m_1m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-01-20-01-26-49							
Seed 1 - CLOUD	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-03-23-20-52							
Seed 2 - CLOUD	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-04-05-51-20							
CC_12m_2.7m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-01-15-04-33-48							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-05-19-59-46							
Seed 2 	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-06-07-38-50							
CC_12m_5m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-01-31-03-39-36
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-20-20-16-45							
Seed 2	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-23-04-26-17							
CC_12m_7.5m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-01-17-08-42-43							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-21-09-34-30							
Seed 2	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-23-17-46-16							
CC_12m_9.6m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/open_clip_logs/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2021-11-15-18-46-52							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-22-04-37-39							
Seed 2	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-24-12-44-58							
									
WIT_1m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-11-03-15-28							
Seed 1		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-19-11-18-15							
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-20-03-18-13							
WIT_2.7m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-11-18-58-45							
Seed 1		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-19-14-05-58							
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-20-06-07-31							
WIT_5m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-11-02-45-17							
Seed 1		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-19-19-12-56							
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-20-11-15-24							
									
Redcaps_1m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-18-09-52-26							
Seed 1 	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-25-09-42-24							
Seed 2	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-10-03-26-47							
Redcaps_2.7m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-09-12-23-59							
Seed 1									
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-23-06-11-10							
Redcaps_5m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-13-22-45-47							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-09-02-01-07							
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-23-06-12-43							
Redcaps_7.5M	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-15-05-44-54
Seed 1		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-25-06-33-25							
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-28-22-21-31							
Redcaps_9.6m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-18-23-05-32							
Seed 1		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-24-03-46-56							
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-27-00-25-33							
Redcaps_12m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-13-22-45-13							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-22-18-51-43							
Seed 2	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-26-17-52-29							
									
Shutterstock_1m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-03-20-58-52							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-09-22-49-08							
Seed 2	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-12-00-29-06							
Shutterstock_2.7m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-06-00-07-39							
Seed 1 	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-12-02-33-31							
Seed 2 	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-12-07-02-53							
Shutterstock_5m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-07-07-50-17							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-08-00-07-00							
Seed 2 	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-12-11-03-49							
Shutterstock_7.5m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-20-13-11-33							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-12-17-25-38							
Seed 2 	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-14-06-39-36							
Shutterstock_9.6m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-28-22-22-52							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-13-02-26-41							
Seed 2 	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-14-15-41-20							
Shutterstock_15m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-20-08-01-45							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-13-13-38-44							
Seed 2	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-15-02-51-48							
									
YFCC (7.5M) - with YFCC CLIP	Filtering	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-16-00-11-06							
LAION (7.5M) - with LAION CLIP	Filtering	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-21-02-03-44							
YFCC (7.5M) - with OPENAI CLIP	Filtering	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-19-18-42-42							
LAION (7.5M) - with OPENAI CLIP	Filtering	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-23-13-48-24							
									
									
YFCC5M (bs=256)		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=256_workers=8_date=2022-07-27-21-19-35							
LAION5M (bs=256)		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=256_workers=8_date=2022-07-27-22-00-12							
YFCC5M (bs=256, different random data seed)		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=256_workers=8_date=2022-07-30-22-11-11							
LAION5M (bs=256, different random data seed)		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=256_workers=8_date=2022-07-30-22-08-36							